ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นจักจั่น | การงาน: ฝันถึงจักจั่นหรือเรไร หรือฝันว่าได้ยินเสียงจักจั่นขันในพงหญ้า ทำนายว่า กิจการที่กำลังทำอยู่นั้นจะมีอุปสรรค และจะมีผู้แกล้งทำให้งานถ่วงล่าช้าออกไปและอาจทำให้เสียเงินทองด้วย | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นจักรพรรดิ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นจักรพรรดิ หรือ พระเจ้าแผ่นดินต่างประเทศ ทำนายว่า จะได้เดินทางไกล หรือผู้ใหญ่ต่างชาติจะช่วยเหลือ หรือถ้ายังเป็นโสด จะได้พบเนื้อคู่ต่างชาติต่างภาษาที่มีฐานะดี | เลขเด็ด: 98 , 09 , 919 , 914 , 098 , 968
ฝันเห็นจักรยาน | การงาน: ฝันเห็นจักรยานหรือได้ขับขี่จักรยาน  ทำนายว่า จะต้องเดินทางไกล หรือมีการโยกย้ายที่อยู่ หรือหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 77 , 78 , 378 , 897 , 276
ฝันเห็นจักรเย็บผ้า | การงาน: ฝันเห็นจักรเย็บผ้า หรือได้ถีบจักร หรือมีคนยกเอาจักรเข้ามาในบ้าน ทำนายว่า จะต้องโยกย้ายหน้าที่การงานหรือเคหสถาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นจันทน์ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นหรือได้รับลูกจันทน์ ผลไม้ชนิดหนึ่ง หรือลูกอินทร์ผลสุกปลั่ง  ทำนายว่า ถ้าเป็นคนมีครอบครัวแล้วหรือหญิงมีครรภ์  ทำนายว่า จะได้บุตรเป็นศรีสง่าภายหน้า ถ้าเป็นโสดจะได้พบเนื้อคู่วาสนาดี แต่ยังไม่ประสบผลสำเร็จเร็ววันนัก | เลขเด็ด: 09 , 07 , 747 , 797 , 679
ฝันเห็นจันทร์ทรงกลด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 09 , 08 , 109 , 189 , 898
ฝันเห็นจันทรุปราคา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 07 , 77 , 08 , 708 , 707 , 077
ฝันเห็นจับ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 09 , 99 , 89 , 009 , 119 , 109
ฝันเห็นจับเจ่า | การงาน: ฝันว่าตนเองนั่งจับเจ่าคนเดียวในที่เปลี่ยว หรือในห้องแต่ลำพังคนเดียว  ทำนายว่า จะต้องมีการโยกย้ายที่อยู่ หรือทำงานไปในที่ไกลๆ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นจานชาม | การงาน: ฝันเห็นจานชามหรือถ้วยจาน หรือได้จับต้อง  ทำนายว่า ถ้าเป็นคนมีครอบครัวแล้ว จะได้บุตรหรือสัตว์เลี้ยงมีคุณเข้ามาอยู่ในบ้าน หรือมิฉะนั้นจะได้งานการหรือการค้าเป็นหลักแหล่งดี | ความรัก: ไม่ชัดเจน | เลขเด็ด: 77 , 78 , 79 , 779 , 789
ฝันเห็นจำปาจำปี | การงาน: ฝันว่าได้ดอกจำปี หรือดอกจำปา  ทำนายว่า เป็นความฝันดี ผู้ฝันจะได้รับความสุขจากชีวิตภายในครอบครัว หรือได้รับโชคลาภในหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 78 , 26 , 287 , 875 , 887
ฝันเห็นจิ้งจก | การงาน: ฝันเห็นจิ้งจก หรือได้ยินเสียงจิ้งจกทักในฝัน  ทำนายว่า จะได้รับข่าวดีจากการงาน หรือลาภทางการเสี่ยงโชคเล็กน้อย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 77 , 71 , 771 , 707 , 761
ฝันเห็นจิ้งหรีด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นจี้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 88 , 27 , 78 , 288 , 287 , 289
ฝันเห็นจีวร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นจุดไฟ | การงาน: ฝันว่าจุดไฟติดง่ายและลุกโพลงดี  ทำนายว่า คนที่แต่งงานแล้วจะได้บุตรแข็งแรงอ้วนท้วนสมบูรณ์และถ้าฝันว่าจุดไฟแล้วดับ ดับแล้วจุดใหม่ แล้วดับอีก  ทำนายว่า บุตรที่อยู่ในท้องจะแท้งหรือคลอดยาก | ความรัก: ไม่ชัดเจน | เลขเด็ด: 40 , 54 , 64 , 464 , 540
ฝันเห็นจูบ | การงาน: ไม่ชัดเจน | ความรัก: ถ้าจูบสัตว์เลี้ยงหรือคนรัก ทำนายว่า จะได้รับเคราะห์เล็กๆ น้อยๆ จากคนในบ้านหรือคนรักหรือมิตรสหายใกล้ชิด | เลขเด็ด: ไม่ระบุ
ฝันเห็นเจดีย์ | การงาน: ถ้าเป็นข้าราชการหรือคนทำงาน จะได้รับตำแหน่งหน้าที่สูงขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: 79 , 71 , 179 , 799 , 771
ฝันเห็นเจดีย์ทราย | การงาน: ฝันเห็นเจดีย์ทราย ทำนายว่า การงานจะมีอุปสรรค ทำธุรกิจอาจถูกโกง | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเจว็ด | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นเจว็ดในศาลพระภูมิ หรือรูปเทพารักษ์ หรือรูปปั้นต่างๆ ภายในศาลเจ้าหรือในวิหาร  ทำนายว่า จะหมดเคราะห์ที่ป่วยเจ็บจะหาย หรือทรัพย์สินที่หายไปจะได้กลับคืน | เลขเด็ด: 11 , 17 , 47 , 417 , 117 , 790
ฝันเห็นเจ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 97 , 474 , 907 , 477
ฝันเห็นแจกัน | การงาน: ฝันว่าตนเองนั่งจับเจ่าคนเดียวในที่เปลี่ยว หรือในห้องแต่ลำพังคนเดียว  ทำนายว่า จะต้องมีการโยกย้ายที่อยู่ หรือทำงานไปในที่ไกลๆ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 27 , 77 , 79 , 279 , 779
ฝันเห็นแจว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแจ่ว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโจงกระเบน | การงาน: ฝันเห็นคนนุ่งโจงกระเบน หรือตัวเองใส่โจงกระเบน ทำนายว่า จะมีโชค ได้เลื่อนตำแหน่ง | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโจร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฉมวก | การงาน: ฝันเห็นฉมวกหรือสามง่ามแทงปลา หรือได้จับฉมวก ทำนายว่า จะได้รับโชคทางการงานหน้าที่ดีขึ้น ถ้าเป็นการค้า จะได้รับผลกำไรเปลี่ยนแปลงไปในทางที่ดี ถ้าใช้ฉมวกแทงปลาได้ในฝัน  ทำนายว่า จะได้โชคลาภจากการพนัน หรือการเสี่ยงซื้อขาย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 33 , 37 , 38 , 887 , 338 , 937
ฝันเห็นฉลอง | การงาน: ฝันเห็นงานฉลอง หรืองานมงคลที่มีฝูงคนไปร่วมอยู่ในงานมากๆ  ทำนายว่า ถ้าผู้ฝันเป็นคนฐานะยากจน จะยิ่งยากจนลำบากลงไปอีก ถ้าผู้ฝันเป็นคนมีฐานะดีหรือมีกิจการค้าดีหรือกำลังอยู่ในความรัก  ทำนายว่า จะได้รับผลสำเร็จสมประสงค์ | ความรัก: ฝันเห็นงานฉลอง หรืองานมงคลที่มีฝูงคนไปร่วมอยู่ในงานมากๆ  ทำนายว่า ถ้าผู้ฝันเป็นคนฐานะยากจน จะยิ่งยากจนลำบากลงไปอีก ถ้าผู้ฝันเป็นคนมีฐานะดีหรือมีกิจการค้าดีหรือกำลังอยู่ในความรัก  ทำนายว่า จะได้รับผลสำเร็จสมประสงค์ | เลขเด็ด: 92 , 93 , 95 , 292 , 893 , 595
ฝันเห็นฉลองพระบาท | การงาน: ฝันเห็นฉลองพระบาท หรือรองเท้าของพระเจ้าแผ่นดิน หรือเป็นสัญลักษณ์ของรูปรองเท้ากษัตริย์ตามที่นึกคิดในฝัน  ทำนายว่า จะได้รับโชควาสนาจากผู้ใหญ่มีอำนาจส่งเสริมหรือได้เลื่อนตำแหน่งหน้าที่การงานสูงขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: 88 , 89 , 889 , 809 , 966 , 288
ฝันเห็นฉลาม | การงาน: ฝันเห็นปลาฉลามขนาดใหญ่ หรือปลาใหญ่ในทะเล  ทำนายว่า จะได้รับข่าวดีจากญาติมิตรผู้ใหญ่หรือผู้สูงอายุ ถ้าเป็นลาภมักจะเป็นข้าวของ หรือหน้าที่ในการงาน มิใช่เป็นโชคลาภทางการเงิน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 08 , 81 , 189 , 889 , 801 , 811
ฝันเห็นฉ้อโกง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฉัตรเงิน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 17 , 97 , 719 , 798 , 279
ฝันเห็นฉาก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 59 , 51 , 151 , 591 , 156
ฝันเห็นฉางข้าว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 49 , 48 , 14 , 148 , 149 , 489
ฝันเห็นฉิ่งฉาบ | การงาน: ฝันเห็นฉิ่งฉาบ หรือได้ตีฉาบตีฉิ่งมีกังวาลเสียงไพเราะในฝัน ทำนายว่า กำลังจะได้รับโชคดี ถ้าเป็นคนมีครอบครัวแล้ว จะได้บุตรเป็นศรีสง่าในภายหน้า ถ้าเป็นโสดจะได้พบเนื้อคู่หรือได้รับชื่อเสียงในหน้าที่การงาน | ความรัก: ฝันเห็นฉิ่งฉาบ หรือได้ตีฉาบตีฉิ่งมีกังวาลเสียงไพเราะในฝัน ทำนายว่า กำลังจะได้รับโชคดี ถ้าเป็นคนมีครอบครัวแล้ว จะได้บุตรเป็นศรีสง่าในภายหน้า ถ้าเป็นโสดจะได้พบเนื้อคู่หรือได้รับชื่อเสียงในหน้าที่การงาน | เลขเด็ด: 28 , 48 , 64 , 428 , 283 , 848 , 364
ฝันเห็นฉีดยา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฉุด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 56 , 57 , 566 , 576 , 559
ฝันเห็นโฉนด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นชกต่อย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นชฎา | การงาน: ฝันเห็นชฎาสวมศีรษะกษัตริย์ หรือชฎาพวกละครหรือหมวกมียอดแหลมคล้ายชฎา  ทำนายว่า จะได้ดีมีโชคทางหน้าที่การงาน แต่ถ้าเป็นพ่อค้า จะมีการเสียเงินเสียทองมากในชั้นต้น แล้วจะดีในภายหลัง ถ้าในฝันนั้น ชฎามีแสงประกาย  ทำนายว่า จะได้รับโชคไปในทางชื่อเสียงหรือเกียติคุณ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 91 , 97 , 119 , 974 , 117
ฝันเห็นชนไก่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นชนะ | การงาน: ฝันว่าชนะคู่แข่งหรือข้าศึก ทำนายว่า การงานจะประสบความสำเร็จ | ความรัก: ฝันว่าชนะคู่แข่งหรือข้าศึก ทำนายว่า การงานจะประสบความสำเร็จ | เลขเด็ด: ไม่ระบุ
ฝันเห็นชลธาร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 22 , 26 , 226 , 219 , 269
ฝันเห็นช้องผม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นช่อดอกไม้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 33 , 36 , 306 , 369 , 376 , 665
ฝันเห็นช้อนชาม | การงาน: ฝันเห็นช้อนหรือชามจาน ถ้าเป็นคนมีครอบครัวแล้ว  ทำนายว่า จะได้บุตรหรือสัตว์เลี้ยง หรือมิฉะนั้นจะได้งานเป็นหลักแหล่งดีขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: 77 , 78 , 47 , 778 , 708 , 779
ฝันเห็นชะนี | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นชะนี ทำนายว่า คนรักจะนอกใจ ทำเรื่องเสื่อมเสีย | เลขเด็ด: ไม่ระบุ
ฝันเห็นชะลอม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นชักลาก | การงาน: ฝันว่าได้ฉุดชักลากรถบรรทุกของหนัก หรือฉุดลากสัตว์ ทำนายว่า การงานที่ทำอยู่จะต้องเปลี่ยนแปลงหรือโยกย้าย หรือมีศัตรูคอยแกล้ง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 99 , 76 , 746 , 719 , 376
ฝันเห็นชักว่าว | การงาน: ฝันเห็นว่าว หรือคนชักว่าว  ทำนายว่า การงานที่กำลังริเริ่มจะทำนั้น จะมีอุปสรรคขัดขวาง แต่จะได้รับผลสำเร็จ ถ้าไม่ด่วนท้อถอยกลางคันเสียก่อน หรืองานในหน้าที่จะมีศัตรูคอยแกล้ง | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 19 , 16 , 169 , 109 , 106
ฝันเห็นช้าง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 117 , 118 , 112
ฝันเห็นช่างปั้น | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 117 , 118 , 112
ฝันเห็นชาวนา ชาวไร่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นชี | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 55 , 56 , 556 , 559 , 569
ฝันเห็นชุดอาบน้ำ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นชุดอาบน้ำ ทำนายว่า จะถูกเพศตรงข้ามหลอกลวง และเสียใจไปนาน | เลขเด็ด: ไม่ระบุ
ฝันเห็นชู้ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นคนรักมีความสัมพันธ์ลึกซึ้งกับคนอื่น ทำนายว่า คนรักจะปันใจให้คนอื่น | เลขเด็ด: ไม่ระบุ
ฝันเห็นเชิงตะกอน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 04 , 06 , 14 , 406 , 414 , 704
ฝันเห็นเชิงเทียน | การงาน: ฝันเห็นเชิงเทียน หรือฝันว่าได้จับเชิงเทียน ถ้ามีเทียนจุดอยู่ด้วย  ทำนายว่า จะได้รับความสำเร็จในกิจการต่างๆ หรือการก้าวหน้าในหน้าที่การงาน ถ้าในฝันเป็นเชิงเทียนไม่มีเทียนปัก จะได้รับข่าวดีเกี่ยวกับการค้าและหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 17 , 19 , 517 , 819 , 879
ฝันเห็นเชิงเทียน | การงาน: ฝันเห็นเชิงเทียน หรือฝันว่าได้จับเชิงเทียน ถ้ามีเทียนจุดอยู่ด้วย  ทำนายว่า จะได้รับความสำเร็จในกิจการต่างๆ หรือการก้าวหน้าในหน้าที่การงาน ถ้าในฝันเป็นเชิงเทียนไม่มีเทียนปัก จะได้รับข่าวดีเกี่ยวกับการค้าและหน้าที่การงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 17 , 19 , 517 , 819 , 879
ฝันเห็นเชือก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแชมพู | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นซอ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 88 , 78 , 76 , 688 , 765 , 386 , 877
ฝันเห็นซ่อง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 47 , 447 , 417 , 747
ฝันเห็นซองจดหมาย | การงาน: ฝันเห็นซองจดหมายหรือได้รับซองจดหมายสีขาว  ทำนายว่า จะได้เลื่อนตำแหน่งหน้าที่การงาน หรือการทำสัญญาว่าจ้าง ให้ทำงานอย่างใดอย่างหนึ่ง ซองสีชมพู จะได้รับข่าวดีเกี่ยวกับเรื่องเพศตรงข้ามและความรัก ถ้าเป็นซองสีฟ้า จะได้ลาภลอย หรือลาภจากการเสี่ยงโชค ซองสีแดง จะเป็นข่าวร้ายเกี่ยวกับญาติพี่น้องครอบครัว | ความรัก: ฝันเห็นซองจดหมายหรือได้รับซองจดหมายสีขาว  ทำนายว่า จะได้เลื่อนตำแหน่งหน้าที่การงาน หรือการทำสัญญาว่าจ้าง ให้ทำงานอย่างใดอย่างหนึ่ง ซองสีชมพู จะได้รับข่าวดีเกี่ยวกับเรื่องเพศตรงข้ามและความรัก ถ้าเป็นซองสีฟ้า จะได้ลาภลอย หรือลาภจากการเสี่ยงโชค ซองสีแดง จะเป็นข่าวร้ายเกี่ยวกับญาติพี่น้องครอบครัว | เลขเด็ด: 44 , 42 , 342 , 346 , 348
ฝันเห็นซองบุหรี่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 47 , 447 , 417 , 747
ฝันเห็นซ่อนกลิ่น | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นซ่อนหา | การงาน: ฝันว่าเล่นซ่อนหา หรือการเล่นหลบซ่อนกับเพื่อนฝูง  ทำนายว่า จะเกิดการแตกร้าวสามัคคี หรือมีเรื่องบาดหมางกับผู้ที่อยู่ร่วมกัน ทั้งในบ้านและที่ทำงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นซ่อมแซม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นซอย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นซักผ้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 16 , 84 , 46 , 148 , 168 , 416
ฝันเห็นซาวข้าว | การงาน: ฝันว่าตนเองซาวข้าวเตรียมจะหุงข้าว หรือฝันเห็นข้าวแช่อยู่ในน้ำ ในภาชนะหุงต้ม ถ้าเป็นหญิง ทำนายว่า จะได้รับข่าวดี หรือมีโชคลาภทางหน้าที่การงาน ถ้าเป็นชายจะได้รับข่าวดีจากคนรักหรือภรรยา หรือบุตรสาว | ความรัก: ฝันว่าตนเองซาวข้าวเตรียมจะหุงข้าว หรือฝันเห็นข้าวแช่อยู่ในน้ำ ในภาชนะหุงต้ม ถ้าเป็นหญิง ทำนายว่า จะได้รับข่าวดี หรือมีโชคลาภทางหน้าที่การงาน ถ้าเป็นชายจะได้รับข่าวดีจากคนรักหรือภรรยา หรือบุตรสาว | เลขเด็ด: 21 , 23 , 25 , 21 , 23 , 25
ฝันเห็นซีเมนต์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นซื้อขาย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 15 , 19 , 26 , 562 , 619 , 715
ฝันเห็นซุง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 19 , 16 , 216 , 119 , 206
ฝันเห็นซุ้มประตู | การงาน: ฝันเห็นซุ้มประตู ทำนายว่า จะได้เลื่อนขั้น เลื่อนตำแหน่ง มีงานสังสรรค์อย่างสนุกสนาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเซิ้ง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 77 , 78 , 277 , 778 , 786
ฝันเห็นโซ่ตรวน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นญาติ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 07 , 04 , 407 , 714 , 447
ฝันเห็นญาติ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 07 , 04 , 407 , 714 , 447
ฝันเห็นหญิง | การงาน: ฝันเห็นอวัยวะเพศหญิง ทำนายว่า จะได้รับเคราะห์หรือโชคร้ายจากการงานในหน้าที่ อาจจะมีผลต่อบุตรหลาน หรือคู่ครอง | ความรัก: ฝันเห็นอวัยวะเพศหญิง ทำนายว่า จะได้รับเคราะห์หรือโชคร้ายจากการงานในหน้าที่ อาจจะมีผลต่อบุตรหลาน หรือคู่ครอง | เลขเด็ด: 25 , 36 , 37 , 067 , 367 , 356
ฝันเห็นหญิงกวาดถนน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหญิงชรา | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดก็ตาม ถ้าฝันเห็นญาติผู้หญิงสูงอายุที่ยังมีชีวิตอยู่หรือตายไปแล้ว  ทำนายว่า จะมีเคราะห์หนักจะเสียของรักภายในบ้าน หรือการแตกร้าวภายในครอบครัว | เลขเด็ด: ไม่ระบุ
ฝันเห็นหญิงแต่งชุด | การงาน: ฝันเห็นหญิงแต่งชุดดำ  ทำนายว่า จะมีศัตรูคิดปองร้ายฝันเห็นหญิงแต่งชุดขาว  ทำนายว่า จะได้ประสบความร่มเย็น ฝันเห็นหญิงแต่งชุดแดง  ทำนายว่า จะได้รับความเดือดร้อนทางการเงินหรือการงานในหน้าที่ ฝันเห็นหญิงแต่งชุดสีเขียวหรือสีฟ้า  ทำนายว่า จะได้รับโชคลาภจากหญิงเป็นผู้ชักนำมา | ความรัก: ไม่ชัดเจน | เลขเด็ด: 55 , 58 , 59 , 155 , 258 , 259
ฝันเห็นหญิงปลูกต้นไม้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นหญิงเปลือย | การงาน: ฝันเห็นหญิงเปลือยกาย ถ้าผู้นั้นเป็นชายได้จับต้องลูบคลำ ในฝัน ทำนายว่า จะได้รับความเดือดร้อนในทางการเงิน หรือการงานจากผู้หญิง ถ้าเพียงฝันเห็นหญิงเปลือย ไม่ได้จับต้องหรือสัมผัสใกล้ชิด  ทำนายว่า จะได้ลาภจากการเสี่ยงโชคเล็กๆ น้อยๆ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 25 , 36 , 37 , 067 , 367 , 356
ฝันเห็นหญิงพายเรือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นด้วง | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าได้เห็นดวงอาทิตย์เปล่งรัศมีลงมาสู่พื้นดิน แต่ไม่บังเกิดความร้อน ทำนายว่า จะเป็นศุภมิตรอันดีแก่ชีวิต หรือจะได้บุตรเป็นชายมีสง่าน่ารัก | เลขเด็ด: ไม่ระบุ
ฝันเห็นดวงอาทิตย์ | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าได้เห็นดวงอาทิตย์เปล่งรัศมีลงมาสู่พื้นดิน แต่ไม่บังเกิดความร้อน ทำนายว่า จะเป็นศุภมิตรอันดีแก่ชีวิต หรือจะได้บุตรเป็นชายมีสง่าน่ารัก | เลขเด็ด: ไม่ระบุ
ฝันเห็นด้วน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นดอกไม้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 35 , 36 , 356 , 561 , 371
ฝันเห็นดักนก กับดัก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นเครื่องดักนก หรือเครื่องดักจับสัตว์ต่างๆ ทำนายว่า ของที่หายไปจะได้กลับคืน หรือคนรักที่จากไปจะกลับมาคืนดี แต่ถ้าของหายได้กลับคืน มักจะประสบเคราะห์ตามหลัง | เลขเด็ด: ไม่ระบุ
ฝันเห็นดับไฟ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 04 , 08 , 004 , 104 , 148
ฝันเห็นดาบ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 29 , 34 , 294 , 298 , 384
ฝันเห็นดาว | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นดาวสว่างสุกใส หรือตกลงมาจากท้องฟ้า  ทำนายว่า หญิงชายที่เห็นโสดจะได้พบเนื้อคู่ที่พึงพอใจ ถ้าเป็นคนมีครอบครัวแล้วจะได้บุตร หรือได้โชคลาภจากการเสี่ยง | เลขเด็ด: 29 , 39 , 298 , 399 , 389
ฝันเห็นดำน้ำ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 20 , 12 , 210 , 228 , 209
ฝันเห็นดิน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 55 , 56 , 06 , 556 , 506 , 509
ฝันเห็นดีใจ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นดื่มน้ำ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 22 , 29 , 269 , 229 , 209 , 916
